behavior_id,impact_id,relationship
SB001,IMP001,MITIGATES
SB001,IMP002,MITIGATES
SB001,IMP005,MITIGATES
SB001,IMP007,MITIGATES
SB001,IMP009,MITIGATES
SB001,IMP010,MITIGATES
SB003,IMP001,MITIGATES
SB003,IMP002,MITIGATES
SB003,IMP005,MITIGATES
SB003,IMP007,MITIGATES
SB003,IMP009,MITIGATES
SB003,IMP010,MITIGATES
SB005,IMP002,MITIGATES
SB005,IMP005,MITIGATES
SB005,IMP007,MITIGATES
SB007,IMP001,MITIGATES
SB007,IMP002,MITIGATES
SB007,IMP005,MITIGATES
SB007,IMP007,MITIGATES
SB007,IMP009,MITIGATES
SB007,IMP010,MITIGATES
SB008,IMP001,MITIGATES
SB008,IMP002,MITIGATES
SB008,IMP005,MITIGATES
SB008,IMP007,MITIGATES
SB008,IMP010,MITIGATES
SB009,IMP002,MITIGATES
SB009,IMP005,MITIGATES
SB009,IMP007,MITIGATES
SB010,IMP001,MITIGATES
SB010,IMP002,MITIGATES
SB010,IMP003,MITIGATES
SB010,IMP005,MITIGATES
SB010,IMP007,MITIGATES
SB010,IMP009,MITIGATES
SB010,IMP010,MITIGATES
SB013,IMP001,MITIGATES
SB013,IMP002,MITIGATES
SB013,IMP005,MITIGATES
SB013,IMP007,MITIGATES
SB013,IMP009,MITIGATES
SB013,IMP010,MITIGATES
SB014,IMP001,MITIGATES
SB014,IMP002,MITIGATES
SB014,IMP005,MITIGATES
SB014,IMP007,MITIGATES
SB014,IMP009,MITIGATES
SB014,IMP010,MITIGATES
SB015,IMP001,MITIGATES
SB015,IMP002,MITIGATES
SB015,IMP005,MITIGATES
SB015,IMP007,MITIGATES
SB015,IMP009,MITIGATES
SB015,IMP010,MITIGATES
SB016,IMP001,MITIGATES
SB016,IMP002,MITIGATES
SB016,IMP005,MITIGATES
SB016,IMP007,MITIGATES
SB016,IMP009,MITIGATES
SB016,IMP010,MITIGATES
SB018,IMP001,MITIGATES
SB018,IMP002,MITIGATES
SB018,IMP005,MITIGATES
SB018,IMP007,MITIGATES
SB018,IMP010,MITIGATES
SB019,IMP001,MITIGATES
SB019,IMP002,MITIGATES
SB019,IMP005,MITIGATES
SB019,IMP007,MITIGATES
SB019,IMP009,MITIGATES
SB019,IMP010,MITIGATES
SB020,IMP001,MITIGATES
SB020,IMP002,MITIGATES
SB020,IMP005,MITIGATES
SB020,IMP007,MITIGATES
SB020,IMP009,MITIGATES
SB020,IMP010,MITIGATES
SB022,IMP001,MITIGATES
SB022,IMP002,MITIGATES
SB022,IMP005,MITIGATES
SB022,IMP007,MITIGATES
SB022,IMP009,MITIGATES
SB022,IMP010,MITIGATES
SB023,IMP001,MITIGATES
SB023,IMP002,MITIGATES
SB023,IMP007,MITIGATES
SB023,IMP009,MITIGATES
SB024,IMP001,MITIGATES
SB024,IMP002,MITIGATES
SB024,IMP005,MITIGATES
SB024,IMP007,MITIGATES
SB024,IMP009,MITIGATES
SB024,IMP010,MITIGATES
SB027,IMP001,MITIGATES
SB027,IMP002,MITIGATES
SB027,IMP005,MITIGATES
SB027,IMP007,MITIGATES
SB027,IMP009,MITIGATES
SB027,IMP010,MITIGATES
SB028,IMP001,MITIGATES
SB028,IMP002,MITIGATES
SB028,IMP007,MITIGATES
SB028,IMP009,MITIGATES
SB028,IMP010,MITIGATES
SB030,IMP001,MITIGATES
SB030,IMP002,MITIGATES
SB030,IMP005,MITIGATES
SB030,IMP007,MITIGATES
SB030,IMP009,MITIGATES
SB030,IMP010,MITIGATES
SB032,IMP001,MITIGATES
SB032,IMP002,MITIGATES
SB032,IMP003,MITIGATES
SB032,IMP005,MITIGATES
SB032,IMP007,MITIGATES
SB032,IMP009,MITIGATES
SB032,IMP010,MITIGATES
SB035,IMP001,MITIGATES
SB035,IMP002,MITIGATES
SB035,IMP005,MITIGATES
SB035,IMP007,MITIGATES
SB035,IMP009,MITIGATES
SB035,IMP010,MITIGATES
SB036,IMP001,MITIGATES
SB036,IMP002,MITIGATES
SB036,IMP003,MITIGATES
SB036,IMP005,MITIGATES
SB036,IMP007,MITIGATES
SB036,IMP009,MITIGATES
SB036,IMP010,MITIGATES
SB038,IMP001,MITIGATES
SB038,IMP002,MITIGATES
SB038,IMP005,MITIGATES
SB038,IMP007,MITIGATES
SB038,IMP009,MITIGATES
SB038,IMP010,MITIGATES
SB040,IMP001,MITIGATES
SB040,IMP002,MITIGATES
SB040,IMP005,MITIGATES
SB040,IMP007,MITIGATES
SB040,IMP010,MITIGATES
SB042,IMP001,MITIGATES
SB042,IMP002,MITIGATES
SB042,IMP005,MITIGATES
SB042,IMP007,MITIGATES
SB042,IMP010,MITIGATES
SB043,IMP001,MITIGATES
SB043,IMP002,MITIGATES
SB043,IMP005,MITIGATES
SB043,IMP007,MITIGATES
SB043,IMP010,MITIGATES
SB044,IMP001,MITIGATES
SB044,IMP002,MITIGATES
SB044,IMP005,MITIGATES
SB044,IMP007,MITIGATES
SB044,IMP010,MITIGATES
SB045,IMP001,MITIGATES
SB045,IMP002,MITIGATES
SB045,IMP005,MITIGATES
SB045,IMP009,MITIGATES
SB045,IMP010,MITIGATES
SB046,IMP001,MITIGATES
SB046,IMP002,MITIGATES
SB046,IMP005,MITIGATES
SB046,IMP007,MITIGATES
SB046,IMP010,MITIGATES
SB050,IMP002,MITIGATES
SB050,IMP005,MITIGATES
SB050,IMP007,MITIGATES
SB050,IMP010,MITIGATES
SB051,IMP002,MITIGATES
SB051,IMP005,MITIGATES
SB051,IMP010,MITIGATES
SB052,IMP002,MITIGATES
SB052,IMP007,MITIGATES
SB052,IMP010,MITIGATES
SB055,IMP001,MITIGATES
SB055,IMP002,MITIGATES
SB055,IMP003,MITIGATES
SB055,IMP005,MITIGATES
SB055,IMP007,MITIGATES
SB055,IMP010,MITIGATES
SB056,IMP001,MITIGATES
SB056,IMP002,MITIGATES
SB056,IMP005,MITIGATES
SB056,IMP007,MITIGATES
SB056,IMP010,MITIGATES
SB058,IMP001,MITIGATES
SB058,IMP002,MITIGATES
SB058,IMP005,MITIGATES
SB058,IMP007,MITIGATES
SB058,IMP009,MITIGATES
SB058,IMP010,MITIGATES
SB059,IMP001,MITIGATES
SB059,IMP002,MITIGATES
SB059,IMP005,MITIGATES
SB059,IMP007,MITIGATES
SB059,IMP010,MITIGATES
SB061,IMP002,MITIGATES
SB061,IMP009,MITIGATES
SB061,IMP010,MITIGATES
SB069,IMP001,MITIGATES
SB069,IMP002,MITIGATES
SB069,IMP005,MITIGATES
SB069,IMP007,MITIGATES
SB069,IMP010,MITIGATES
SB070,IMP002,MITIGATES
SB070,IMP005,MITIGATES
SB070,IMP007,MITIGATES
SB074,IMP002,MITIGATES
SB074,IMP005,MITIGATES
SB074,IMP007,MITIGATES
SB074,IMP010,MITIGATES
SB075,IMP002,MITIGATES
SB075,IMP005,MITIGATES
SB075,IMP007,MITIGATES
SB075,IMP010,MITIGATES
SB080,IMP001,MITIGATES
SB080,IMP002,MITIGATES
SB080,IMP005,MITIGATES
SB080,IMP007,MITIGATES
SB080,IMP009,MITIGATES
SB080,IMP010,MITIGATES
SB081,IMP001,MITIGATES
SB081,IMP002,MITIGATES
SB081,IMP005,MITIGATES
SB081,IMP007,MITIGATES
SB081,IMP009,MITIGATES
SB081,IMP010,MITIGATES
SB082,IMP001,MITIGATES
SB082,IMP002,MITIGATES
SB082,IMP005,MITIGATES
SB082,IMP007,MITIGATES
SB082,IMP010,MITIGATES
SB083,IMP001,MITIGATES
SB083,IMP002,MITIGATES
SB083,IMP005,MITIGATES
SB083,IMP007,MITIGATES
SB083,IMP009,MITIGATES
SB083,IMP010,MITIGATES
SB087,IMP001,MITIGATES
SB087,IMP002,MITIGATES
SB087,IMP005,MITIGATES
SB087,IMP007,MITIGATES
SB087,IMP009,MITIGATES
SB087,IMP010,MITIGATES
SB089,IMP001,MITIGATES
SB089,IMP002,MITIGATES
SB089,IMP005,MITIGATES
SB089,IMP007,MITIGATES
