behavior_id,tactic_id,relationship
SB001,TA0042,FEND_OFF
SB001,TA0001,FEND_OFF
SB001,TA0003,FEND_OFF
SB001,TA0004,FEND_OFF
SB001,TA0006,FEND_OFF
SB001,TA0008,FEND_OFF
SB001,TA0040,FEND_OFF
SB003,TA0042,FEND_OFF
SB003,TA0001,FEND_OFF
SB003,TA0003,FEND_OFF
SB003,TA0004,FEND_OFF
SB003,TA0006,FEND_OFF
SB003,TA0008,FEND_OFF
SB003,TA0040,FEND_OFF
SB005,TA0042,FEND_OFF
SB005,TA0001,FEND_OFF
SB005,TA0003,FEND_OFF
SB005,TA0004,FEND_OFF
SB005,TA0005,FEND_OFF
SB005,TA0006,FEND_OFF
SB005,TA0007,FEND_OFF
SB005,TA0008,FEND_OFF
SB005,TA0009,FEND_OFF
SB005,TA0010,FEND_OFF
SB005,TA0040,FEND_OFF
SB007,TA0043,FEND_OFF
SB007,TA0042,FEND_OFF
SB007,TA0001,FEND_OFF
SB007,TA0003,FEND_OFF
SB007,TA0004,FEND_OFF
SB007,TA0006,FEND_OFF
SB007,TA0008,FEND_OFF
SB007,TA0040,FEND_OFF
SB008,TA0043,FEND_OFF
SB008,TA0042,FEND_OFF
SB008,TA0001,FEND_OFF
SB008,TA0006,FEND_OFF
SB009,TA0043,FEND_OFF
SB009,TA0042,FEND_OFF
SB009,TA0001,FEND_OFF
SB009,TA0003,FEND_OFF
SB009,TA0004,FEND_OFF
SB009,TA0006,FEND_OFF
SB009,TA0008,FEND_OFF
SB009,TA0009,FEND_OFF
SB009,TA0010,FEND_OFF
SB009,TA0040,FEND_OFF
SB010,TA0042,FEND_OFF
SB010,TA0001,FEND_OFF
SB010,TA0003,FEND_OFF
SB010,TA0004,FEND_OFF
SB010,TA0005,FEND_OFF
SB010,TA0006,FEND_OFF
SB010,TA0008,FEND_OFF
SB010,TA0009,FEND_OFF
SB010,TA0010,FEND_OFF
SB010,TA0040,FEND_OFF
SB013,TA0001,FEND_OFF
SB013,TA0002,FEND_OFF
SB013,TA0003,FEND_OFF
SB013,TA0004,FEND_OFF
SB013,TA0005,FEND_OFF
SB013,TA0006,FEND_OFF
SB013,TA0007,FEND_OFF
SB013,TA0008,FEND_OFF
SB013,TA0009,FEND_OFF
SB013,TA0011,FEND_OFF
SB013,TA0010,FEND_OFF
SB013,TA0040,FEND_OFF
SB014,TA0001,FEND_OFF
SB014,TA0002,FEND_OFF
SB014,TA0006,FEND_OFF
SB015,TA0043,FEND_OFF
SB015,TA0042,FEND_OFF
SB015,TA0001,FEND_OFF
SB015,TA0002,FEND_OFF
SB015,TA0006,FEND_OFF
SB016,TA0042,FEND_OFF
SB016,TA0001,FEND_OFF
SB016,TA0003,FEND_OFF
SB016,TA0004,FEND_OFF
SB016,TA0006,FEND_OFF
SB016,TA0008,FEND_OFF
SB016,TA0009,FEND_OFF
SB016,TA0010,FEND_OFF
SB016,TA0040,FEND_OFF
SB018,TA0042,FEND_OFF
SB018,TA0001,FEND_OFF
SB018,TA0002,FEND_OFF
SB018,TA0003,FEND_OFF
SB018,TA0005,FEND_OFF
SB018,TA0006,FEND_OFF
